filename,gen,mean_dist_to_ref
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run3_rep0_dist_to_ref.csv,791,0.07140439932318104
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run3_rep0_dist_to_ref.csv,913,0.07741116751269035
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run3_rep0_dist_to_ref.csv,1278,0.08403835307388607
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run3_rep0_dist_to_ref.csv,1673,0.08815566835871405
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run3_rep0_dist_to_ref.csv,2038,0.09249858996051889
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run3_rep0_dist_to_ref.csv,2221,0.09736963544070143
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run3_rep0_dist_to_ref.csv,2434,0.10022126773395809
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run3_rep0_dist_to_ref.csv,2586,0.09715172024816696
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run3_rep0_dist_to_ref.csv,2768,0.09884376762549352
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run3_rep0_dist_to_ref.csv,2920,0.09776273735664598
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run4_rep0_dist_to_ref.csv,122,0.0637901861252115
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run4_rep0_dist_to_ref.csv,274,0.06802030456852792
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run4_rep0_dist_to_ref.csv,791,0.07800338409475466
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run4_rep0_dist_to_ref.csv,913,0.08319232938522278
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run4_rep0_dist_to_ref.csv,1278,0.0825343109607069
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run4_rep0_dist_to_ref.csv,1673,0.09086294416243655
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run4_rep0_dist_to_ref.csv,2038,0.08911449520586577
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run4_rep0_dist_to_ref.csv,2221,0.08983233348715583
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run4_rep0_dist_to_ref.csv,2434,0.09228166080957959
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run4_rep0_dist_to_ref.csv,2586,0.09419063733784545
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run4_rep0_dist_to_ref.csv,2768,0.09616469261139311
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run4_rep0_dist_to_ref.csv,2920,0.09343861628125588
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run5_rep0_dist_to_ref.csv,122,0.0637901861252115
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run5_rep0_dist_to_ref.csv,274,0.06869712351945854
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run5_rep0_dist_to_ref.csv,791,0.07563451776649746
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run5_rep0_dist_to_ref.csv,913,0.07445008460236886
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run5_rep0_dist_to_ref.csv,1278,0.08347433728144388
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run5_rep0_dist_to_ref.csv,1673,0.08206429780033841
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run5_rep0_dist_to_ref.csv,2038,0.08784545967287084
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run5_rep0_dist_to_ref.csv,2221,0.08814028610982926
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run5_rep0_dist_to_ref.csv,2434,0.08551347130027333
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run5_rep0_dist_to_ref.csv,2586,0.0892554991539763
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run5_rep0_dist_to_ref.csv,2768,0.08657642413987592
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run5_rep0_dist_to_ref.csv,2920,0.09061853731904493
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run6_rep0_dist_to_ref.csv,122,0.06395939086294417
